evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
6.0,power_design,False,orientation,1.0,shape,1,100,100,78,0.78,0.04142463035441595,100,0.04764737824791642,0.030741576467093357,0.039892371312068436,0.05916949787008435,100,15.647994660806908,22.307949150152727,55.41745557355206,100,6.0,6,6,forced
6.0,power_design,False,shape,0.25,delta,1,100,100,66,0.66,0.04737087712930804,100,0.05080962941158902,0.03410002541203233,0.045811330287394814,0.061197613851840194,100,10.631981142128616,4.025450611493309,28.48183722828895,100,6.0,6,6,forced
6.0,power_design,False,shape,0.25,angle,1,100,100,76,0.76,0.04270831300812525,100,0.05080962941158902,0.03410002541203233,0.045811330287394814,0.061197613851840194,100,10.631981142128616,4.025450611493309,28.48183722828895,100,6.0,6,6,forced
6.0,power_design,False,shape,0.25,shape,1,100,100,85,0.85,0.035707142142714254,100,0.05080962941158902,0.03410002541203233,0.045811330287394814,0.061197613851840194,100,10.631981142128616,4.025450611493309,28.48183722828895,100,6.0,6,6,forced
6.0,power_design,False,shape,0.5,delta,1,100,100,51,0.51,0.04998999899979995,100,0.052435884726204654,0.03549506238709427,0.04826287935940299,0.06216000901269603,100,10.308045374754073,6.17541802325999,35.502963998114346,100,6.0,6,6,forced
6.0,power_design,False,shape,0.5,angle,1,100,100,88,0.88,0.03249615361854384,100,0.052435884726204654,0.03549506238709427,0.04826287935940299,0.06216000901269603,100,10.308045374754073,6.17541802325999,35.502963998114346,100,6.0,6,6,forced
6.0,power_design,False,shape,0.5,shape,1,100,100,71,0.71,0.04537620521815371,100,0.052435884726204654,0.03549506238709427,0.04826287935940299,0.06216000901269603,100,10.308045374754073,6.17541802325999,35.502963998114346,100,6.0,6,6,forced
6.0,power_design,False,shape,1.0,delta,1,100,100,53,0.53,0.04990991885387112,100,0.05981068334857849,0.04170049962902456,0.0549113893860228,0.06851998881953941,100,9.87469515714258,4.0410849149008286,31.491610020035658,100,6.0,6,6,forced
6.0,power_design,False,shape,1.0,angle,1,100,100,95,0.95,0.021794494717703377,100,0.05981068334857849,0.04170049962902456,0.0549113893860228,0.06851998881953941,100,9.87469515714258,4.0410849149008286,31.491610020035658,100,6.0,6,6,forced
6.0,power_design,False,shape,1.0,shape,1,100,100,57,0.57,0.04950757517794625,100,0.05981068334857849,0.04170049962902456,0.0549113893860228,0.06851998881953941,100,9.87469515714258,4.0410849149008286,31.491610020035658,100,6.0,6,6,forced
6.0,power_design,False,translation,0.25,delta,1,100,100,0,0.0,0.0,100,0.050566976553480886,0.036714092483284166,0.04702591938567674,0.059373893479826634,100,10.803409319336296,5.676681316969505,41.600486040309704,100,6.0,6,6,forced
